Wied il-Mielaħ, wɪt ɪlmɪlɐh, W <IH> T   <IH> L M <IH> L <AA> HH
Wied iz-Żurrieq, wɪt ɪtszʊrrɪʔ, W <IH> T   <IH> T S Z <UH> R R <IH> <UNK>
WWII, wərld wɒr tu, W AH0 R L D   W <OH> R   T <UW>
world war two, wərld wɒr tu, W AH0 R L D   W <OH> R   T <UW>
Xagħra, ʃɐrɐ, SH <AA> R <AA>
Xewkija, ʃɛʊkɪjɐ, SH <EH> <UH> K <IH> Y <AA>
Xlendi, ʃlɛndɪ, SH L <EH> N D <IH>
Żejtun, zɛɪtʊn, Z <EH> <IH> T <UH> N
Żebbiegħ, zɛbbɪh, Z <EH> B B <IH> HH
Żebbuġ, zɛbbʊʧ, Z <EH> B B <UH> CH
Zerafa, tsɛrɐfɐ, T S <EH> R <AA> F <AA>
Żonqor, zɔnʔɔr, Z <AO> N <UNK> <AO> R
Żurrieq, zʊrrɪʔ, Z <UH> R R <IH> <UNK>
