Punic Period, pʊnɪc pɛrɪəd, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Qala, ʔɐlɐ, <UNK> <UNK> <UNK> <UNK>
Qawra, ʔɐʊrɐ, <UNK> <UNK> <UNK> <UNK> <UNK>
QR Code, kju ɑr kɔd, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Qrendi, ʔrɛndɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Rabat, rɐbɐt, <UNK> <UNK> <UNK> <UNK> <UNK>
Ramla l-Ħamra, rɐmlɐ lhɐmrɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Rinella, rɪnɛllɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Safi, sɐfɪ, <UNK> <UNK> <UNK> <UNK>
San Blas, sɐn blɐs, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
San Ġiljan, sɐn ʤɪljɐn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
San Ġwann, sɐn ʤwɐnn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
San Pawl il-Baħar, sɐn pɐʊl ɪlbɐhɐr, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Senglea, sɛnglɛɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Sannat, sɐnnɐt, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Sarah, sɐrɐh, <UNK> <UNK> <UNK> <UNK> <UNK>
Schembri, scɛmbrɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Selmun, sɛlmʊn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Sette Giugno, sɛttɛ gɪʊgnɔ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Siġġiewi, sɪʤʤɪwɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Sliema, slɪmɐ, <UNK> <UNK> <UNK> <UNK> <UNK>
St. Agatha, sɐnt ɐgɐtɐ , <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Angelo, sɐnt ɐngɛlɔ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Elmo, sɐnt ɛlmɔ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. George, sɐnt gɛɔrgɛ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Helen, sɐnt ɛlɛn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. John, sɐnt jɔn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Joseph, sɐnt jɔsɛph, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Julian, sɐnt jʊlɪɐn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Mary, sɐnt mɐrɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Nicholas, sɐnt nɪcɔlɐs, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Paul, st pɐʊl, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Peter, st pɛtɛr, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
St. Thomas, st tɔmɐs, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Swieqi, swɪʔɪ, <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Fra Ben Bay, tɐ frɐ bɛn bɐɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Gurdan, tɐ gʊrdɐn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Ħaġrat, tɐ hɐʤrɐt, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Pinu, tɐ pɪnʊ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Qali, tɐ ʔɐlɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Ta' Xbiex, tɐ ʒbɪʃ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Tarxien, tɐrʃɪn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Verdala, vɛrdɐlɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Vittoriosa, vɪttɔrɪɔsɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied, wɪt, <UNK> <UNK> <UNK>
Wied Babu, wɪt bɐbʊ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied il-Għajn, wɪt ɪlkhɐɪn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied il-Għasri, wɪt ɪlkhɐsrɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied il-Kbir, wɪt ɪlgbɪr, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied il-Mielaħ, wɪt ɪlmɪlɐh, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Wied iz-Żurrieq, wɪt ɪtszʊrrɪʔ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
WWII, wərld wɒr tu, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
world war two, wərld wɒr tu, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Xagħra, ʃɐrɐ, <UNK> <UNK> <UNK> <UNK>
Xewkija, ʃɛʊkɪjɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Xlendi, ʃlɛndɪ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Żejtun, zɛɪtʊn, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Żebbiegħ, zɛbbɪh, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Żebbuġ, zɛbbʊʧ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Zerafa, tsɛrɐfɐ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Żonqor, zɔnʔɔr, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
Żurrieq, zʊrrɪʔ, <UNK> <UNK> <UNK> <UNK> <UNK> <UNK>
